FECHA;TURNO;AREA;ACTIVIDAD REALIZADA
20/02/2025;Día;Trituracion;Desensamble de componentes internos de la trituradora cónica limpieza cambio aceite hidraulico
20/02/2025;Día;Entable;Soldadura parches 6 cocos
20/02/2025;Día;Laboratorio;Fabricacion de laminas de 110 en laminas de 3/4
20/02/2025;Noche;Trituracion;Inspección y regulación de presión del hidráulico en la trituradora cónica
20/02/2025;Noche;Bombas;Inspección y alineación de la bomba #7
19/02/2025;Día;Trituracion;Soldadura parches 6 cocos
19/02/2025;Día;Laboratorio;Desmonte de eje aplicación de soldadura y rectificado en el torno
19/02/2025;Noche;Trituracion;Extracción de antiguo molino #4  pendiente por falta de oxígeno
18/02/2025;Día;Trituracion;Zaranda #2: parchado de malla
18/02/2025;Día;Bombas;Instalación de compresor pequeño en el Falcón
18/02/2025;Noche;Hornos;Reparación del horno de laboratorio cambio de correas y fabricación de buje
17/02/2025;Día;Molienda;Lubricación general de equipos  corrección de fuga en molino #1
17/02/2025;Noche;Flotacion;Fabricación y cambio de empaque de sello Spool Feeder Molino 1
16/02/2025;Día;Hornos;Inspección y reparación del horno de secado
16/02/2025;Noche;Flotacion;Desensamble de la celda nueva  traslado de materiales
15/02/2025;Día;Trituracion;Reparación de la malla de Zaranda #2
15/02/2025;Noche;Trituracion;Terminación de la estructura del área de empaque
14/02/2025;Día;Trituracion;Cambio de malla en Zaranda #1
14/02/2025;Noche;Trituracion;Instalación de tubería para estructura de big bag
13/02/2025;Día;Trituracion;Lubricación de equipos
13/02/2025;Noche;Trituracion;Corrección de fuga en molino #2
12/02/2025;Día;Trituracion;Fabricación de soportes para izaje de molinos
12/02/2025;Noche;Trituracion;Terminación de ensamblaje de la trituradora cónica
11/02/2025;Día;Trituracion;Arreglo de guarda de seguridad en agitadores
11/02/2025;Noche;Molienda;Soldadura y montaje de rieles para bandejas eléctricas
10/02/2025;Día;Molienda;Lubricación rodillos entrada y salida del molino #2
10/02/2025;Noche;Flotación;Fabricación de muñeco en tubería para reemplazar alimentación de celda 3
9/02/2025;Día;Trituración;Fabricación de estructura para soportar chute de alimentación del molino #2
9/02/2025;Noche;Trituración;Lubricación general en trituración
8/02/2025;Día;Molienda;Destape y engrase de chumaceras del molino #2
8/02/2025;Noche;Trituración;Extracción de eje en motoreductor  soldadura en eje principal
7/02/2025;Día;Flotación;Posicionamiento de nueva unidad hidráulica de la trituradora cónica
7/02/2025;Noche;Planta;Parada de planta para mantenimiento
6/02/2025;Día;Molienda;Limpieza sistema motriz de molinos
6/02/2025;Noche;Flotación;Soldadura base motoreductor celda cleanner nueva
5/02/2025;Día;Trituración;Trazado y corte de chute para alimentación del molino #2
5/02/2025;Noche;Trituración;Armado de tolva hidrociclón
1/02/2025;Día;Trituración;Cierre de trituradora de mandíbula  ajuste a 3.5 pulg
1/02/2025;Noche;Trituración;Desarme de bomba nueva Warman 4x3
25/02/2025;Día;Trituración;Lubricación equipos (trituración, bombas, molino 2, 3, 5, agitadores)
25/02/2025;Día;Molino 1;Se continúa con actividades en molino 1 (desmontaje de viejas y tubos, montaje de guarda)
25/02/2025;Día;Molino 1;Se alinea acople masa de reductor y eje piñón
25/02/2025;Día;Molino 1;Se realizan pruebas con personal de vibromontajes, y queda al punto.
25/02/2025;Día;General;Montaje de válvula de retención Falcón
25/02/2025;Día;Neumática;Fabricación de niples para montaje neumático en el pulmón de aire comprimido
25/02/2025;Día;Trituración;Se alinea banda 2 en trituración
25/02/2025;Día;Molino 1;Se cambia empaque de manifold por fuga
25/02/2025;Día;Molino 1;Montaje de acople y rejilla FALCK
25/02/2025;Día;Molino 1;Lubricación acople FALCK y tapas laterales
25/02/2025;Día;Molino 1;Adición de 4 galones de hidráulico a la unidad
25/02/2025;Día;Trituradora de Cono;Corrección de fuga en el contraeje, se aplica silicona de alta temperatura (realizar seguimiento)
25/02/2025;Día;Taller;Orden y aseo al taller y se organiza herramienta
24/02/2025;Noche;Molino 3;Se repara con soldadura base del motor, se ancla con cadenas el motor, se cambia acople brasilero reventado. Operativo.
24/02/2025;Noche;Molino 1;Se continúa con PM, se instalan empaques, se hace orden y aseo, se instala spool feeder, se fabrican empaques, se adecua guarda, se instalan acoples masa al reductor y piñón, se ubica eje piñón. (Se mecanizaron los 2 acoples masas por quedar pasados de medida). Pendiente alinear y anclar.
24/02/2025;Noche;Molino 2;Se reparan 2 fugas debajo de la catalina
24/02/2025;Noche;Banda 1;Tolva de Stand by. Se solda sproke. Operativo.
24/02/2025;Día;Molino 1;Se continúa con parada de planta
24/02/2025;Día;Molino 1;Soldadura y fabricación ayudas de montaje
24/02/2025;Día;Molino 1;Traslado de cunas a sitio de izaje
24/02/2025;Día;Molino 1;Soldadura orejas en viga parte superior
24/02/2025;Día;Molino 1;Desmonte de eje piñón
24/02/2025;Día;Molino 1;Desmonte de acoples masa en reductor y piñón
24/02/2025;Día;Trituradora Cónica;Soldadura de tuercas en trituradora cónica
24/02/2025;Día;Molino 1;Izaje de molino y cambio de empaques, inspección de casquetes de bronce (sin desgaste), acondicionamiento de cauchos (empaques) y montaje para evitar fugas
24/02/2025;Día;Molino 1;Fabricación y soldadura de spool feeder
24/02/2025;Día;Trituradora Cónica;Desensamble, extracción de bujes cónico y recto.
24/02/2025;Día;Trituradora Cónica;Desensamble y posterior armado de unidad hidráulica
24/02/2025;Día;Banda 1;Apoyo con soldador a contratista A y J
23/02/2025;Día;Trituradora Cónica;Se continúa el desarme, se retira el buje recto y excéntrico, limpieza general de piezas, buje recto en hielo seco para ensamblaje.
23/02/2025;Día;Molino 2;Cambio de rodillos, retiro de manhol, inspección del empacado del molino.
23/02/2025;Día;Molino 2;Fabricación de piezas para izaje con diferenciales en pórticos.
23/02/2025;Día;Molino 2;Retiro de conducto de entrada y cuchara.
23/02/2025;Día;Molino 2;Instalación del sistema de izaje principal con gatos hidráulicos Dicar.
23/02/2025;Día;Molino 2;Limpieza de cajas de rodamientos y piezas involucradas.
23/02/2025;Día;Molino 2;Instalación de rodillos nuevos y posicionamiento final.
23/02/2025;Noche;Molino 2;Orden y aseo catalina y piñón, instalación de manhol, cuchara y sport feeder.
23/02/2025;Noche;Trituradora Cónica;Cambio de buje cónico, aplicación de backing, limpieza de componentes, pulido de ejes.
23/02/2025;Noche;Trituradora Cónica;Desmontaje contra eje, mecanizado de bronce en torno según muestra, inicio de ensamble.
23/02/2025;Noche;Trituradora Cónica;Instalación de contra eje, platos de realce, eje excéntrica a la 4am. Pendiente continuar.
22/02/2025;Día;General;Lubricación equipos (molino 1,2,3,5, bombas, agitadores, grizly zaranda 1, 2 tambores de bandas trituración).
22/02/2025;Día;Molino 4;Corte y evacuación. Pendiente ingreso de celda cleaner.
22/02/2025;Día;Laboratorio;Corrección de ventilador horno. Pendiente pedir para cambio.
22/02/2025;Día;Molino 2;Limpieza y engrase de rodamientos para cambio en parada mañana.
22/02/2025;Día;Molino 2;Traslado de ayudas de montaje (cunas, polines).
22/02/2025;Día;Trituradora Cónica;Soldadura chute descarga, corrección de fugas.
22/02/2025;Día;Molino 2;Intervención de banda, pendiente chapas y reemplazo de tensores.
22/02/2025;Día;Falcón;Cambio correa compresor.
22/02/2025;Día;Bomba 5;Corrección de agua, cambio de llave de paso por atascamiento.
22/02/2025;Día;Turbineros;Soldadura y maquinado de ejes.
22/02/2025;Noche;Trituración;Lubricación área de trituración.
22/02/2025;Noche;Molino 4;Extracción de estructuras del antiguo molino hasta donde alcanzó el oxígeno.
22/02/2025;Noche;Banda 1;Cambio de chumaceras T208, instalación de chapetas, soldadura eje tambor de cola y mecanizado. Operativa.
22/02/2025;Noche;Molino 1;Grafilado de casquete, perforado a 1/2, fabricación de 4 cáncamos para izaje.
22/02/2025;Noche;Trituradora Mandíbulas;Ajuste y queda en 4 In. No se puede cerrar más para evitar choque de mandíbulas.
22/02/2025;Noche;Trituradora Conica;Inicio de desensamble. Continuar.
22/02/2025;Noche;Molino 2;Corte de orejas para anclaje.
21/02/2025;Día;General;Lubricación de equipos.
21/02/2025;Día;Trituración;Montaje de cauchos encauzadores, fabricación de rascadores, regulación de lubricación cónica.
21/02/2025;Día;Laboratorio;Montaje de guarda motor horno, ratificación de perforaciones, colocación de tornillos pasantes.
21/02/2025;Día;General;Fabricación y montaje de guarda para contención de fuga hidráulico, montaje de tubería de retorno a unidad por fuga.
21/02/2025;Día;Torno;Maquinado de flanches.
21/02/2025;Día;Electrico;Desmonte de caja eléctrica en taller eléctrico.
21/02/2025;Día;Mecanica Diesel;Soldadura de cárter taller mecánica diesel.
21/02/2025;Noche;General;Lubricación molinos 1,2,3,5.
21/02/2025;Noche;Molino 4;Continuación de extracción de antiguo molino.
21/02/2025;Noche;Bomba 7;Cambio de polea, instalación de correas B64 cant:2, cambio de 1 tornillo tensor del motor. Operativo.
21/02/2025;Noche;Zaranda 2;Cambio de malla cant:1 #16mm.
